ne_id,division
A5359-4A21-51,大安區
A3435-4A21-01,中正區
A3265-4A51-01,大安區
A2366-4A51-01,中正區
A2168-4A51-01,中正區
A4502-4A51-01,南港區
A1065-4A21-52,內湖區
A2824-4A51-01,北投區
A1740-4A51-01,中正區
A5559-4A22-51,松山區
A3828-4A51-01,大同區
A0885-4A22-01,北投區
A5121-4A21-51,松山區
A0117-4A22-51,內湖區
A2126-4A21-51,北投區
A5003-4A51-01,北投區
A5002-4A51-01,士林區
A2133-4A21-51,松山區
A3765-4A51-01,中正區
A4340-4A21-51,南港區
A2748-4A51-01,中正區
A4163-4A22-01,中正區
A3276-4A22-01,信義區
A3379-4A21-01,大安區
A1904-4A21-52,內湖區
A0585-4A21-01,信義區
A1446-4A21-01,大安區
A0263-4A21-51,內湖區
A0940-4A51-01,內湖區
A4052-4A51-01,松山區
A2659-4A21-01,萬華區
A4525-4A51-01,內湖區
A0486-4A21-52,內湖區
NNH-4A21-66,內湖區
A4807-4A51-01,大同區
A2856-4A21-51,信義區
A2842-4A22-01,北投區
A3375-4A21-01,北投區
A0572-4A21-51,中正區
A0137-4A51-01,中山區
A1746-4A21-01,文山區
A3690-4A21-51,松山區
A1068-4A22-51,內湖區
A3929-4A51-01,北投區
A1974-4A51-01,內湖區
A4839-4A22-51,中山區
A5466-4A51-01,松山區
A4522-4A51-01,大安區
A2196-4A21-51,大同區
A4603-4A51-01,南港區
A4786-4A51-01,南港區
A2113-4A21-01,信義區
A2808-4A51-01,松山區
A4282-4A51-01,中山區
A4487-4A22-51,中山區
A4483-4A51-01,北投區
A2020-4A22-01,信義區
A0705-4A22-01,信義區
A2361-4A21-51,北投區
A3277-4A22-01,信義區
A3612-4A21-01,北投區
A3946-4A51-01,中正區
A2377-4A22-51,大安區
A3535-4A21-01,中正區
A2728-4A21-01,中山區
A2290-4A21-01,中山區
A2408-4A21-51,松山區
A2780-4A51-01,松山區
A3443-4A21-01,大安區
A4840-4A22-51,內湖區
A2911-4A51-01,內湖區
A4449-4A51-01,南港區
A3117-4A21-01,萬華區
A1904-4A21-53,內湖區
A1904-4A21-54,內湖區
A3795-4A22-01,大安區
A2655-4A21-01,信義區
A4353-4A22-01,中山區
A3064-4A21-01,文山區
A1467-4A51-01,大安區
A4155-4A22-01,中正區
A2483-4A21-01,中山區
A3373-4A21-01,中山區
A1904-4A21-51,內湖區
A4062-4A22-01,北投區
A4654-4A51-01,松山區
A0294-4A22-51,內湖區
A0284-4A22-51,內湖區
A4783-4A51-01,文山區
A4052-4A22-01,松山區
A3376-4A21-01,北投區
A0129-4A22-51,松山區
A0089-4A21-51,中正區
A5106-4A51-01,士林區
A0398-4A21-51,內湖區
A4387-4A51-01,大安區
A3889-4A22-01,文山區
A2907-4A51-01,內湖區
A3427-4A21-01,文山區
A4356-4A22-51,中山區
A4307-4A21-51,中正區
A4301-4A22-51,內湖區
A1402-4A21-01,中山區
A4661-4A22-51,大同區
A4077-4A51-01,文山區
A1753-4A21-01,文山區
A2368-4A21-01,中山區
A4753-4A51-01,信義區
A4396-4A22-01,文山區
A2441-4A51-01,信義區
A2539-4A21-01,萬華區
A2331-4A21-01,信義區
A1867-4A21-51,中山區
A4277-4A22-51,大同區
A2572-4A22-51,大安區
A0605-4A21-51,大安區
A1748-4A21-01,文山區
A4591-4A51-01,松山區
A2747-4A51-01,中正區
A2718-4A51-01,松山區
A1752-4A21-01,文山區
A3034-4A22-01,信義區
A3654-4A51-01,北投區
A3278-4A21-01,文山區
A4726-4A51-01,士林區
A4484-4A51-01,信義區
A1896-4A21-51,內湖區
A3811-4A51-01,北投區
A3599-4A53-01,士林區
A0025-4A21-51,信義區
A2503-4A22-01,中正區
A3021-4A51-01,士林區
A0940-4A22-51,內湖區
A3083-4A22-01,南港區
A4046-4A22-01,大同區
A1873-4A21-52,內湖區
NNH-4A21-55,內湖區
A3641-4A22-51,內湖區
A4775-4A51-01,中山區
A5100-4A51-01,士林區
A4810-4A22-51,大安區
A2747-4A21-01,中正區
A4481-4A51-01,士林區
